City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nemuro,JP,43.3236,145.575,53.69,68,100,16.89,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,58.48,30,0,5.21,clear sky
2,Enshi,CN,30.3,109.4833,65.14,77,98,0.36,overcast clouds
3,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,75,16.11,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,73.45,85,100,9.26,overcast clouds
5,Atuona,PF,-9.8,-139.0333,77.47,73,45,16.67,scattered clouds
6,Khatanga,RU,71.9667,102.5,-6.21,99,100,5.35,overcast clouds
7,Torbay,CA,47.6666,-52.7314,35.76,69,100,20.71,light shower snow
8,Chuy,UY,-33.6971,-53.4616,58.08,94,47,6.69,scattered clouds
9,Chokurdakh,RU,70.6333,147.9167,-8.7,99,100,8.68,overcast clouds
10,Khilok,RU,51.3674,110.4676,25.45,63,100,1.7,overcast clouds
11,Vaini,TO,-21.2,-175.2,80.76,83,75,10.36,broken clouds
12,Koumac,NC,-20.5667,164.2833,78.46,69,63,16.98,broken clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,63.09,85,0,11.99,clear sky
14,Carutapera,BR,-1.195,-46.02,74.86,88,10,5.3,clear sky
15,Hermanus,ZA,-34.4187,19.2345,57.79,72,1,11.7,clear sky
16,Ankazoabo,MG,-22.2833,44.5167,71.51,81,6,4.43,clear sky
17,Finnsnes,NO,69.2296,17.9811,32.61,89,84,4.85,broken clouds
18,Nanortalik,GL,60.1432,-45.2371,31.53,82,100,8.86,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,38.86,75,75,25.32,broken clouds
20,Ukiah,US,39.1502,-123.2078,51.69,84,0,1.01,clear sky
21,Lebork,PL,54.5392,17.7501,49.91,93,100,8.55,overcast clouds
22,Jamestown,US,42.097,-79.2353,58.59,28,0,12.66,clear sky
23,Portland,US,45.5234,-122.6762,45.81,80,9,3.0,clear sky
24,Punta Arenas,CL,-53.15,-70.9167,42.91,61,20,16.11,few clouds
25,Ribeira Grande,PT,38.5167,-28.7,69.78,91,100,20.0,overcast clouds
26,Barrow,US,71.2906,-156.7887,28.42,80,75,12.66,broken clouds
27,Meridian,US,43.6121,-116.3915,32.4,87,20,13.8,few clouds
28,Lasa,IT,46.6166,10.7002,43.36,99,100,3.83,overcast clouds
29,Port Macquarie,AU,-31.4333,152.9167,72.9,45,0,7.56,clear sky
30,Adrar,MR,20.5022,-10.0711,71.04,16,0,8.61,clear sky
