City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pushkino,RU,2022-11-05 17:22:12,56.0172,37.8667,34.09,84,100,2.15
1,Mugur-Aksy,RU,2022-11-05 17:22:12,50.35,90.5,19.9,73,54,5.14
2,Pangnirtung,CA,2022-11-05 17:22:13,66.1451,-65.7125,15.8,57,100,5.75
3,Khatanga,RU,2022-11-05 17:22:13,71.9667,102.5,-24.27,100,99,4.63
4,Jamestown,US,2022-11-05 17:19:03,42.097,-79.2353,78.39,57,20,18.41
5,Ushuaia,AR,2022-11-05 17:22:13,-54.8,-68.3,62.26,51,0,3.44
6,Mataura,NZ,2022-11-05 17:22:14,-46.1927,168.8643,37.44,93,30,2.55
7,Hirara,JP,2022-11-05 17:22:14,24.8,125.2833,73.04,74,100,20.98
8,Upernavik,GL,2022-11-05 17:22:15,72.7868,-56.1549,12.33,78,56,7.7
9,Tanete,ID,2022-11-05 17:22:15,-3.9443,119.7848,75.87,94,100,1.77
10,Vestmannaeyjar,IS,2022-11-05 17:22:15,63.4427,-20.2734,41.99,81,75,35.68
11,Crotone,IT,2022-11-05 17:22:16,39.0851,17.1178,62.55,67,75,6.91
12,Atuona,PF,2022-11-05 17:22:16,-9.8,-139.0333,77.02,72,60,14.5
13,Aklavik,CA,2022-11-05 17:22:16,68.2191,-135.0107,0.0,83,34,9.69
14,Manokwari,ID,2022-11-05 17:22:17,-0.8667,134.0833,78.1,80,100,6.13
15,Longyearbyen,SJ,2022-11-05 17:22:17,78.2186,15.6401,31.84,80,40,12.66
16,Gualaquiza,EC,2022-11-05 17:22:17,-3.4,-78.55,80.29,49,79,4.34
17,Kununurra,AU,2022-11-05 17:22:18,-15.7667,128.7333,84.18,65,7,5.75
18,Novyy Nekouz,RU,2022-11-05 17:22:18,57.9029,38.07,31.19,80,83,2.21
19,Saint-Philippe,RE,2022-11-05 17:22:18,-21.3585,55.7679,72.99,81,38,6.82
20,Vaini,TO,2022-11-05 17:22:19,-21.2,-175.2,71.76,88,20,4.61
21,Kiama,AU,2022-11-05 17:22:19,-34.6833,150.8667,61.57,83,8,3.0
22,Bengkulu,ID,2022-11-05 17:22:20,-3.8004,102.2655,75.79,90,100,3.06
23,Hithadhoo,MV,2022-11-05 17:22:20,-0.6,73.0833,81.5,73,33,8.77
24,Tura,IN,2022-11-05 17:22:20,25.5198,90.2201,66.76,93,0,3.4
25,Salalah,OM,2022-11-05 17:22:21,17.0151,54.0924,82.49,74,0,2.3
26,Anchorage,US,2022-11-05 17:22:21,61.2181,-149.9003,20.28,72,0,19.57
27,Talcahuano,CL,2022-11-05 17:22:21,-36.7167,-73.1167,56.14,66,84,7.29
28,Bongouanou,CI,2022-11-05 17:22:22,6.6486,-4.1992,80.02,75,100,2.93
29,Gamba,GA,2022-11-05 17:22:22,-2.65,10.0,79.03,81,92,8.3
30,Patrocinio,BR,2022-11-05 17:22:22,-18.9439,-46.9925,76.17,36,43,6.2
31,Butaritari,KI,2022-11-05 17:22:22,3.0707,172.7902,79.75,76,55,10.71
32,Zyryanka,RU,2022-11-05 17:22:23,65.75,150.85,-2.54,98,100,3.2
33,Punta Arenas,CL,2022-11-05 17:22:23,-53.15,-70.9167,63.75,46,6,7.54
34,Baringo,KE,2022-11-05 17:22:23,0.4667,35.9667,76.91,53,92,7.4
35,Derzhavinsk,KZ,2022-11-05 17:22:24,51.1,66.3167,27.79,75,61,14.09
36,Cape Town,ZA,2022-11-05 17:21:34,-33.9258,18.4232,69.35,75,0,24.16
37,Nizwa,OM,2022-11-05 17:22:24,22.9333,57.5333,77.58,31,82,1.68
38,Quatre Bornes,MU,2022-11-05 17:22:24,-20.2644,57.4719,71.96,76,58,8.08
39,Geraldton,AU,2022-11-05 17:18:08,-28.7667,114.6,63.01,82,0,9.22
40,Rikitea,PF,2022-11-05 17:18:00,-23.1203,-134.9692,70.41,75,96,16.26
41,La Sarrosa,HN,2022-11-05 17:22:25,15.2333,-87.8333,81.54,59,91,0.81
42,Faya,SA,2022-11-05 17:22:25,18.3851,42.4509,64.51,77,46,4.23
43,Albany,US,2022-11-05 17:22:25,42.6001,-73.9662,72.54,75,74,3.0
44,Tuktoyaktuk,CA,2022-11-05 17:22:26,69.4541,-133.0374,5.0,85,100,21.85
45,Carnarvon,AU,2022-11-05 17:22:26,-24.8667,113.6333,65.95,73,0,18.43
46,Najran,SA,2022-11-05 17:22:27,17.4924,44.1277,74.05,25,3,5.5
47,Provideniya,RU,2022-11-05 17:23:27,64.3833,-173.3,20.55,79,100,7.78
